JobNumber,Customer,State,City,,,
3633708,Charter,NY,CLAYTON,,,
4336398,Charter,AL,SEMINOLE,,,
3424333,Charter,TX,BROWNSVILLE,,,
4057048,Charter,AL,CULLMAN,,,
4265182,Charter,CA,WEST HOLLYWOOD,,,
4358635,Charter,TX,DALLAS,,,
4582568,Charter,TN,BOLIVAR,,,
4447273,Charter,CA,CALIFORNIA CITY,,,
4642766,Charter,AL,ENTERPRISE,,,
4650643,Charter,AL,GENEVA,,,
4214102,Charter,TX,CARROLLTON,,,
4552661,Charter,NY,ALBANY,,,
4317206,Charter,CA,LA HABRA,,,
4595722,Charter,OH,LEBANON,,,
4460634,Charter,AL,TRUSSVILLE,,,
4677109,Charter,LA,BUSH,,,
4624995,Charter,TX,MCKINNEY,,,
4609029,Charter,CA,CORONA DEL MAR,,,
3747472,Charter,CA,GARDEN GROVE,,,
4682917,Charter,TX,GRAND PRAIRIE,,,
4477230,Charter,CA,VICTORVILLE,,,
4573532,Charter,TX,ALLEN,,,
4570518,Charter,TX,BASTROP,,,
4659526,Charter,TX,PLANO,,,
4575379,Charter,AL,DORA,,,
4666582,Charter,TX,DALLAS,,,
4676632,Charter,KY,MIDDLESBORO,,,
4686547,Charter,KY,SOMERSET,,,
4688137,Charter,KY,NANCY,,,
4686251,Charter,WI,,,,
4609336,Charter,TX,COMMERCE,,,
3339578,Charter,TX,SPRING,,,
4641976,Charter,TX,SAN ELIZARIO,,,
4677742,Charter,TX,ROUND ROCK,,,
4609637,Charter,TX,FLOWER MOUND,,,
3855388,Charter,TX,EL PASO,,,
4192290,Charter,TX,DENTON,,,
3848448,Charter,TX,RIO GRANDE CITY,,,
4664594,Charter,MN,MONTICELLO,,,
4624754,Charter,MO,KANSAS CITY,,,
4693485,Charter,WI,MILWAUKEE,,,
4582440,Charter,KS,KANSAS CITY,,,
4648336,Charter,WI,UNION GROVE,,,
4664572,Charter,MO,ELDON,,,
4524468,Charter,MN,ELK RIVER,,,
4647010,Charter,WI,JOHNSON CREEK,,,
4533655,Charter,WI,HILBERT,,,
4606225,Charter,WI,MEDFORD,,,
4605618,Charter,WI,GREEN BAY,,,
4642572,Charter,WY,CHEYENNE,,,
4641107,Charter,CO,GRAND JUNCTION,,,
3902508,Charter,ID,RATHDRUM,,,
4696265,Charter,ID,HAYDEN,,,
4587005,Charter,CO,MONTROSE,,,
4690213,Charter,ID,HAYDEN LAKE,,,
4564855,Charter,WA,BENTON CITY,,,
4696049,Charter,CA,BAKERSFIELD,,,
4061637,Charter,CO,LEADVILLE,,,
4685099,Charter,CA,BAKERSFIELD,,,
4645130,Charter,CA,BAKERSFIELD,,,
4648883,Charter,TX,DUNCANVILLE,,,
4633983,Charter,TX,MCKINNEY,,,
4592202,Charter,TX,GARLAND,,,
4619277,Charter,TX,MESQUITE,,,
4509292,Charter,TX,RED OAK,,,
